,val_loss,loss
0,0.0027917927375256113,0.0009196381852232487
1,0.006249404491427413,0.0008187702491283626
2,0.005346260851183615,0.0008790335820542765
3,0.004772201969747887,0.0008398910547040829
4,0.007856758960770094,0.0007032622556151306
5,0.004648945048453849,0.0006147103946090843
6,0.005109029234821112,0.0009396392929823564
7,0.014439023321150065,0.0014747426978791943
8,0.012252772239056261,0.0015071385726788489
9,0.009834952635477142,0.001349700322969448
10,0.00574255264640063,0.001016530303171731
11,0.0033793836520696154,0.0007563381067259562
12,0.00031950354476369586,0.0004596763285645074
13,0.002205393535556747,0.00020170788251524564
14,0.001397688628647605,7.175772973429827e-05
15,0.0009600771203016242,4.0303170992684107e-05
16,0.0007958499957112508,4.8922846390440567e-05
17,0.0005536944362726596,2.972309463535492e-05
18,0.00041138266946442553,3.3500269691271175e-05
19,0.0002893629487061844,2.630167455547638e-05
20,0.0002070078789984109,2.691018592317555e-05
21,0.00014884847583592395,2.440433189668857e-05
22,0.00010892624917839082,2.3949256829362513e-05
23,8.260685634316663e-05,2.2947572552116038e-05
24,6.530869154630636e-05,2.2385681380035877e-05
25,5.436514580499837e-05,2.1824699257778616e-05
26,4.756791940963012e-05,2.1366269915977737e-05
27,4.345468300925859e-05,2.095162258781047e-05
28,4.103153651158209e-05,2.0572423250256473e-05
29,3.968256413600102e-05,2.0215634759886437e-05
30,3.908412874883046e-05,1.9874924513227045e-05
31,3.9101852697361515e-05,1.954864750140974e-05
32,3.969323279306991e-05,1.923942700829247e-05
33,4.0795777617101216e-05,1.8952531860686488e-05
34,4.2249395145669645e-05,1.8693083583645138e-05
35,4.378816966739881e-05,1.8463346778305747e-05
36,4.511593014437191e-05,1.8261914354290738e-05
37,4.598947153529783e-05,1.8084707706234546e-05
38,4.6276502719895994e-05,1.792650955944735e-05
39,4.596063265201641e-05,1.7782931067301115e-05
40,4.512330508532614e-05,1.7651451375934572e-05
41,4.392426078917803e-05,1.75319542073871e-05
42,4.2565232547531195e-05,1.7426938722715675e-05
43,4.1256490438475644e-05,1.734138221490986e-05
44,4.019326331672346e-05,1.728249456077299e-05
45,3.954636245377211e-05,1.725929316482526e-05
46,3.947793391982183e-05,1.7281735212242906e-05
47,4.0189273676105586e-05,1.7359374545244616e-05
48,4.197961331442457e-05,1.7499922554891973e-05
49,4.529901086887852e-05,1.7707566817751933e-05
